didok;stationsbezeichnung;schliessfach_wert;schliessfach_zeit;naechste_dienststelle;entfernung;rollstuhl_billet;rollstuhl_wc;rollstuhl_verlad;mobilift;stufenloser_perronzugang;bats;autelca;automat_ktu;geopos
1891;Crosets, Les, télécabine;;;Monthey-Ville;19.0;;;;;;;;;46.1839460421, 6.8351205739
1950;Preglia;;;;;;;;;;;;;46.1454552465, 8.29283054593
1954;Bettmeralp;;;Mörel;10.0;;;;;;;;;46.3861073639, 8.05793717863
1999;Brigerbad, Thermalbad;;;;;;;;;;;;;46.3017925279, 7.93058342132
2001;Zofingen;3.0;;;;1;1;1;1;1;;0;2;47.2880447598, 7.94309735295
2010;St. Erhard-Knutwil;;;Wauwil;4.0;0;0;0;0;0;;0;1;47.1800770071, 8.07456185019
2011;Oberkirch;;;Sursee;2.0;0;0;0;0;1;;0;1;47.1552315719, 8.11422262548
2017;Waldibrücke;;;Emmenbrücke;6.0;0;0;0;0;1;;0;0;47.1078933281, 8.31968694103
2019;Ermensee;;;Hitzkirch;1.0;0;0;0;0;1;;0;0;47.2296890898, 8.24230319429
2020;Rothenburg;;;Sursee;14.0;0;0;0;0;0;;0;0;47.0881904457, 8.24917741374
2020;Rothenburg;;;Emmenbrücke;6.0;0;0;0;0;0;;0;0;47.0881904457, 8.24917741374
2021;Emmenbrücke;;;Luzern;5.0;0;0;1;1;1;;0;2;47.0705979582, 8.28255105833
2022;Eschenbach;;;Hochdorf;5.0;0;0;0;1;1;;0;1;47.1323911487, 8.32277893852
2023;Ballwil;;;Eschenbach;2.0;0;0;0;1;0;;0;1;47.1537643847, 8.31688138659
2025;Baldegg;;;Hochdorf;2.0;0;0;0;1;0;;0;1;47.1856838433, 8.28020982028
2026;Gelfingen;;;Hitzkirch;2.0;0;0;0;0;0;;0;1;47.2135545697, 8.26480670843
2027;Hitzkirch;;;Beinwil am See;6.0;0;0;0;0;0;;0;1;47.2226679578, 8.25198154865
2028;Emmenbrücke Gersag;;;Sursee;19.0;0;0;0;0;0;;0;1;47.0783132004, 8.27679952708
2030;Seon;;;Birrwil;8.0;0;1;0;0;1;;0;1;47.3461400227, 8.15878995065
2030;Seon;;;Lenzburg;5.0;0;1;0;0;1;;0;1;47.3461400227, 8.15878995065
2031;Hallwil-Dürrenäsch;;;Boniswil;2.0;0;0;0;0;0;;0;1;47.3286359778, 8.17593763411
