didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
10;Basel SBB;01.01.2013;;BS 100;Reisegepäck Express;47.5474041527, 7.58955146721;1
21;Pratteln;01.01.2017;;BS 311;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.522657608, 7.69080243836;2
100;Tavannes;;;BN 853;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.2198385551, 7.20163489763;3
105;Moutier;;;BN 842;Beförderung von Fahrrädern nach dieser Station nicht möglich;47.2806661619, 7.38103944266;4
123;Glovelier;01.01.2029;;BN 827;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3352002384, 7.20929652415;5
202;Grenchen Süd;01.01.2029;;BN 829;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1887666151, 7.39817426522;6
305;Frick;;;BS 531;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5073437467, 8.01307225263;7
1008;Genève;01.01.2013;;GEA200;Reisegepäck Express;46.2102022669, 6.14245302875;8
1096;Bière;01.01.2017;;LS 223;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5374295583, 6.33691885158;9
1173;Echallens;01.01.1931;;LS 261;Gepäckbeförderung nur vormittags;46.6395002737, 6.6325409066;10
1370;Glion;01.01.2029;;LS 308;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4317751146, 6.92473234914;11
1398;Saanen BE;01.01.1931;;LS 307;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4885751409, 7.26027824102;12
1495;Villars-sur-Ollon;01.01.2020;;LS 347;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2962535067, 7.05623802224;13
1509;Sierre/Siders;01.01.1931;;BR 231;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2921149792, 7.53283036255;14
1561;Vernayaz MC;01.01.1931;;LS 384;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1301269722, 7.04493371044;15
1609;Brig;;;BR 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.3194210071, 7.98809158467;16
1663;Ulrichen;01.01.2009;;BR 770;Allgemeine Informationen;46.505017955, 8.30881690239;17
1683;Stalden-Saas;01.01.2019;;BR 411;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2319774852, 7.87076552269;18
1754;Blatten b. Naters, Belalpbahn;01.01.1931;;BR 551;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.3591668639, 7.98390664287;19
1768;Grimentz, poste;01.01.2014;;BR 232;Allgemeine Informationen;46.1784922693, 7.57622475623;20
1779;St-Luc, office du tourisme;01.01.2019;;BR 233;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2235565931, 7.59305699674;21
1780;Saas-Almagell, Tourismusbüro;01.01.2017;;BR 503;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.0941668822, 7.95749649507;22
1781;Saas-Balen, Dorf;01.01.2017;;BR 501;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1530118572, 7.92841417761;23
1782;Saas-Fee, Post;01.01.2012;;BR 500;Gepäckauslieferung durch den Wagenführer bei Ankunft und Abfahrt der Kurse;46.1087928601, 7.92956975713;24
1783;Saas-Grund, Post;01.01.2017;;BR 502;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1235140981, 7.9368174188;25
1954;Bettmeralp;01.01.2017;;BR 720;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3861073639, 8.05793717863;26
1963;Visperterminen, Tourismusbüro;01.01.1931;;BR 292;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.2580558114, 7.90268134293;27
2021;Emmenbrücke;;;LZ 311;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0705979582, 8.28255105833;28
2024;Hochdorf;01.01.2023;;LZ 411;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.1669743615, 8.28868696709;29
2169;Menziken;01.01.2013;;ZUE304;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2409214644, 8.18930957917;30
2204;Zug;01.01.2013;;ZUE250;Fluggepäck (Check-in am Bahnhof);47.1736230527, 8.51529569481;31
