didok,stationsbezeichnung,service,Mail,Firma,Postfach,Adresse,Nummer,PLZ,Ort,Land,geopos,ID
2223,Hedingen,Drittverkauf,890800@post.ch,,,,,,,,"47.2987825148, 8.44595351443",1
2224,Affoltern am Albis,"Billette, Abonnemente, Freizeitangebote",bahnhof.affoltern-albis@sbb.ch,Schweizerische Bundesbahnen SBB,60,Bahnhofplatz,2,8910,Affoltern am Albis,,"47.276064074, 8.44658239143",2
2224,Affoltern am Albis,Gepäck,bahnhof.affoltern-albis@sbb.ch,Schweizerische Bundesbahnen SBB,60,Bahnhofplatz,2,8910,Affoltern am Albis,,"47.276064074, 8.44658239143",3
2225,Mettmenstetten,Drittverkauf,mettmenstetten@avec.ch,avec. Mettmenstetten,,Untere Bahnhofstrasse,5,8932,Mettmenstetten,,"47.244071939, 8.45736538581",4
2263,Sarmenstorf BDWM/Autwm,Drittverkauf,,,,,,,,,,5
2273,Bremgarten,Geldwechsel,bremgarten@bdwm.ch,,,,,,,,"47.3518702667, 8.34747515845",6
2276,Berikon-Widen,Gepäck,berikon@bdwm.ch,BDWM Transport AG,,Bahnhofstrasse,2,8965,Berikon,,"47.3621867175, 8.36679370169",7
2277,Rudolfstetten,Drittverkauf,,,,,,,,,"47.3700256744, 8.38179910885",8
3000,Zürich HB,DHL / PickPost,gepaeck.zuerich@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach 1901,,,8021,Zürich 1,,"47.3781765756, 8.54019221036",9
3000,Zürich HB,InfoPoint,,Schweizerische Bundesbahnen SBB,Postfach 1901,,,8021,Zürich 1,,"47.3781765756, 8.54019221036",10
3000,Zürich HB,Velovermietung,gepaeck.zuerich@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach 1901,,,8021,Zürich 1,,"47.3781765756, 8.54019221036",11
3003,Zürich Stadelhofen,Geldwechsel,bahnhof.stadelhofen@sbb.ch,Schweizerische Bundesbahnen SBB,,Stadelhoferstrasse,8,8001,Zürich,,"47.3666105569, 8.54846647022",12
3003,Zürich Stadelhofen,Gepäck,bahnhof.stadelhofen@sbb.ch,Schweizerische Bundesbahnen SBB,,Stadelhoferstrasse,8,8001,Zürich,,"47.3666105569, 8.54846647022",13
3003,Zürich Stadelhofen,Western Union,bahnhof.stadelhofen@sbb.ch,Schweizerische Bundesbahnen SBB,,Stadelhoferstrasse,8,8001,Zürich,,"47.3666105569, 8.54846647022",14
3016,Zürich Flughafen,Eventtickets,zuerich.flughafen@sbb.ch,BRZ Zürich Flughafen,Postfach 2474,,,8060,Zürich-Flughafen,,"47.4503820775, 8.56238666028",15
3016,Zürich Flughafen,Fundservice,fundbuerosbb.flughafen@sbb.ch,BRZ Zürich Flughafen,Postfach 2474,,,8060,Zürich-Flughafen,,"47.4503820775, 8.56238666028",16
3016,Zürich Flughafen,Gepäckversand Schweiz,fundbuerosbb.flughafen@sbb.ch,BRZ Zürich Flughafen,Postfach 2474,,,8060,Zürich-Flughafen,,"47.4503820775, 8.56238666028",17
3067,Zollikerberg,"Billette, Abonnemente, Freizeitangebote",zollikerberg@forchbahn.ch,Forchbahn Kiosk Bahnolino,,Forchstrasse 191,,8125,Zollikerberg,CH,"47.3460550549, 8.60340013877",18
3082,Adliswil LAF,"Billette, Abonnemente, Freizeitangebote",info@laf.ch,Luftseilbahn Adliswil-Felsenegg LAF AG,,Zelgstrasse,80,8134,Adliswil,,"47.3131697226, 8.52005531945",19
3097,Langnau-Gattikon,Gepäck,brz.langnau@szu.ch,,,,,,,,"47.2868741088, 8.54401952332",20
