didok,stationsbezeichnung,parkrail_anzahl,parkrail_preis_tag,parkrail_preis_monat,parkrail_preis_jahr,parkrail_pflichtig_zeit1,parkrail_pflichtig_zeit2,parkrail_pflichtig_zeit3,parkrail_bemerkung,railtaxitext,railtaxiinfo,mietvelo_bezeichnung,mietvelo_anzahl,mietvelo_bemerkung,veloparking_status_d,veloparking_bemerkung_d,veloparking_abschliessbar,veloparking_abschliessbar_text,carsharing standort_bezeichnung,geopos
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Mountainbike,8,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Bahnhof SBB / Parkhaus Bahnhof Süd,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Countrybike,36,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Bahnhof SBB / Central Bahnparking,"47.5474041527, 7.58955146721"
10,Basel SBB,,,,,,,,Private Parkangebote siehe Link: http://www.parkleitsystem-basel.ch/stadtplan.php,Gratisnummer 0800 44 22 66,"Treffpunkt RailTaxi: Ausgang Ost, Wegleitung P+Rail, nach Treppenabgang
Zugehörige Agglomerationsstandorte: Allschwil, Binningen, Birsfelden, Münchenstein, Muttenz, Riehen
Partner: 33er Taxi und Taxi-Zentrale AG, Basel",Countrybike,36,"Ausgabe/Rücknahme der Velos in örtlicher Velostation;; zusätzlich verfügbar: 4 Elektro-Bikes, 4 Tourenvelos",Immer genügend Veloabstellplätze verfügbar,,1,Velostation http://www.velostation.ch/de/velostationen/basel-2/,Basel Bahnhof SBB / Solothurnerstrasse,"47.5474041527, 7.58955146721"
113,Laufen,62,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich. Wegen Bauarbeiten sind die 77 Parkplätze auf der P+Rail-Anlage West bis Frühjahr 2017 gesperrt. Die 62 Plätze auf der Anlage Ost sind von der Bauarbeiten nicht betroffen.,,,,,,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,0,,Laufen Bahnhof,"47.4193383263, 7.50263030739"
115,Grellingen,24,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.4412906001, 7.59198326877"
123,Glovelier,16,4,40,400,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.3352002384, 7.20929652415"
104,Court,3,0,0,0,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2405870125, 7.34209529907"
101,Reconvilier,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.2352248694, 7.22741061293"
17087,Alpnach Dorf ZB,23,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Spezialartikel: Verkauf nur ZB intern und Monatskarten auch am Bahnhof Luzern.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Alpnach Dorf Bahnhof,
17089,Giswil ZB,46,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Spezialartikel: Verkauf nur ZB intern und Monatskarten auch am Bahnhof Luzern.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Giswil Bahnhof,
17096,Niederried ZB,24,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Spezialartikel: Verkauf nur ZB Intern und Monatskarten auch am Bahnhof Luzern. Tageskarten am Billettautomaten erhältlich,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,
17086,Alpnachstad ZB,15,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Spezialartikel: Verkauf nur ZB intern und Monatskarten auch am Bahnhof Luzern.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,
17091,Lungern ZB,16,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Spezialartikel: Verkauf nur ZB intern und Monatskarten auch am Bahnhof Luzern.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,
18427,Wolhusen,82,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,,
18424,Schüpfheim,66,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,
17083,Kriens Mattenhof ZB,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,
17045,Fillistorf BLS,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,
3007,Zürich Seebach,14,5,50,500,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",,Gratisnummer 0800 44 22 66,,,,,Immer genügend Veloabstellplätze verfügbar,,1,Tiefbauamt Stadt Zürich http://www.stadt-zuerich.ch/content/ted/de/index/mobil_in_zuerich/per_velo/veloroutennetz/veloabstellplaetze/bike_u_ride.html,Zürich Seebach Bahnhof,"47.4187469105, 8.54463614173"
3000,Zürich HB,,,,,,,,,Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: Bei Gleis 18, vis à vis Polizei, Nähe Taxi Standplätze<br/>Einsatzgebiet: Zürich (ganzes Stadtgebiet), Zürich-Flughafen, Glattbrugg, Kloten<br/>Partner: Taxi 444 AG, Zürich",Countrybike,12,.,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,1,Velostation http://www.velostation.ch/de/velostationen/zuerich-2/,Zürich Altstetten Bahnhof,"47.3781765756, 8.54019221036"
3000,Zürich HB,,,,,,,,,Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: Bei Gleis 18, vis à vis Polizei, Nähe Taxi Standplätze<br/>Einsatzgebiet: Zürich (ganzes Stadtgebiet), Zürich-Flughafen, Glattbrugg, Kloten<br/>Partner: Taxi 444 AG, Zürich",Elektrovelo,10,.,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,1,Velostation http://www.velostation.ch/de/velostationen/zuerich-2/,Zürich Altstetten Bahnhof,"47.3781765756, 8.54019221036"
3000,Zürich HB,,,,,,,,,Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: Bei Gleis 18, vis à vis Polizei, Nähe Taxi Standplätze<br/>Einsatzgebiet: Zürich (ganzes Stadtgebiet), Zürich-Flughafen, Glattbrugg, Kloten<br/>Partner: Taxi 444 AG, Zürich",Mountainbike,6,.,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,1,Velostation http://www.velostation.ch/de/velostationen/zuerich-2/,Zürich Hauptbahnhof,"47.3781765756, 8.54019221036"
3000,Zürich HB,,,,,,,,,Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: Bei Gleis 18, vis à vis Polizei, Nähe Taxi Standplätze<br/>Einsatzgebiet: Zürich (ganzes Stadtgebiet), Zürich-Flughafen, Glattbrugg, Kloten<br/>Partner: Taxi 444 AG, Zürich",Countrybike,12,.,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,1,Velostation http://www.velostation.ch/de/velostationen/zuerich-2/,Zürich Zollstrasse,"47.3781765756, 8.54019221036"
3000,Zürich HB,,,,,,,,,Gratisnummer 0800 44 22 66,"RailTaxi Treffpunkt: Bei Gleis 18, vis à vis Polizei, Nähe Taxi Standplätze<br/>Einsatzgebiet: Zürich (ganzes Stadtgebiet), Zürich-Flughafen, Glattbrugg, Kloten<br/>Partner: Taxi 444 AG, Zürich",Kindervelo,1,.,"Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt",,1,Velostation http://www.velostation.ch/de/velostationen/zuerich-2/,Zürich Hauptbahnhof,"47.3781765756, 8.54019221036"
2226,Knonau,91,6,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Knonau Bahnhof,"47.2202591199, 8.4667085831"
2227,Steinhausen,31,6,60,,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Online-Ticket erhältlich.,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1945798603, 8.47842234624"
2230,Zug Chollermüli,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,Zug Chollermüli,"47.1804713352, 8.48576089261"
2306,Hünenberg Chämleten,,,,,,,,,,,,,,Immer genügend Veloabstellplätze verfügbar,,0,,,"47.1691518563, 8.44989778178"
2119,Lenzburg,264,8,60,600,"Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00","Mo,Tu,We,Th,Fr,Sa,Su 00:00-24:00",Jahreskarten sind ausschliesslich am SBB Schalter in Lenzburg erhältlich. Online-Ticket für Tageskarten erhältlich.,Gratisnummer 0800 44 22 66,"Zugehörige Agglomerationsstandorte: Niederlenz, Wildegg, Möriken, Seon, Schafisheim, Rupperswil, Hunzenschwil, Hendschiken,Othmarsingen, Brunegg, Staufen Ammerswil.<br>RailTaxi-Partner: Chestenberg-Taxi",,,,"Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt",,0,,Lenzburg Bahnhof,"47.3911934191, 8.17037888645"
