y,x,Linie,Km,BPS,BPS-Name,PerronTyp,P-Nr,P-Lange,Z-Schienenfrei,P-Besonderheit,Bem Typ,Fotos,1 Erf Dtm,Mut Dtm,AT-PA-Region,PJ-Produktionsstandort,IH-Region,IH-Niederlassung,B-Region,Kst,Kst-Beschreibung,UEW-Region,UEW-Niederlassung-FB,Abk. Str. Verwaltung,ErfMandant,Status,FNO,FID,IPID,geopos
540233.044,151360.154,100,2.506,PU,Pully,Aussenperron,2,235,ja,,,0,0001-01-02T00:53:28+00:53,0001-01-21T00:53:28+00:53,West,West,West,Lausanne,West,100100,(Lausanne) - Vevey,West,Lausanne,SBB CFF,SBB,Bestehend,714,35298804,1733110,"46.5108694528, 6.659906846"
540107.926,151785.842,250,2.367,PUN,Pully-Nord,Aussenperron,1,177,ja,,,0,0001-01-20T00:53:28+00:53,0001-01-04T00:53:28+00:53,West,West,West,Lausanne,West,250100,(Lausanne) - (Palezieux),West,Lausanne,SBB CFF,SBB,Bestehend,714,35294621,2319033,"46.5146873783, 6.6582214531"
704276.804,231289.055,671,0.129,RW,Rapperswil,Mittelperron,6/7,151,ja,,,0,0001-01-15T00:53:28+00:53,0001-01-05T00:53:28+00:53,Ost,Ost,Ost,Rapperswil,Ost,730450,Rapperswil,Ost,Zurich,SBB CFF,SBB,Bestehend,714,35294073,1778841,"47.2243002726, 8.81549795129"
704406.436,231358.294,730,35.936,RW,Rapperswil,Hausperron,1,329,ja,,,0,0001-01-29T00:53:28+00:53,0001-01-05T00:53:28+00:53,Ost,Ost,Ost,Rapperswil,Ost,730450,Rapperswil,Ost,Zurich,SBB CFF,SBB,Bestehend,714,35294202,1779178,"47.2249024827, 8.81722532032"
583973.318,231597.936,226,57.982,REC,Reconvilier,Hausperron,1,65,ja,,,0,0001-01-25T00:53:28+00:53,0001-01-23T00:53:28+00:53,West,West,West,Biel/Bienne,West,226100,(Sonceboz) - (Moutier),West,Biel,SBB CFF,SBB,Bestehend,714,35286666,941582,"47.2351065678, 7.22697948337"
561031.283,219538.085,225,69.022,RE,Renan BE,Zwischenperron,1/3,185,ja,,,0,0001-01-08T00:53:28+00:53,0001-01-15T00:53:28+00:53,West,West,West,Biel/Bienne,West,225150,(Sonceboz) - (La Chaux-de-Fonds),West,Biel,SBB CFF,SBB,Bestehend,714,35300638,2399259,"47.1256754314, 6.92505826308"
534021.839,154401.605,150,4.575,REN,Renens VD,Mittelperron,4/5,371,ja,,,0,0001-01-18T00:53:28+00:53,0001-01-02T00:53:28+00:53,West,West,West,Lausanne,West,150200,Renens VD,West,Lausanne,SBB CFF,SBB,Bestehend,714,35297218,2081905,"46.5376430132, 6.5785489134"
585496.53,226535.674,225,42.016,REU,Reuchenette-Pery,Zwischenperron,2/3,196,nein,,,0,0001-01-14T00:53:28+00:53,0001-01-27T00:53:28+00:53,West,West,West,Biel/Bienne,West,225100,(Biel) - Sonceboz-Sombeval Ouest,West,Biel,SBB CFF,SBB,Bestehend,714,35294410,1752396,"47.1896087426, 7.24725893407"
585497.378,226540.304,225,42.016,REU,Reuchenette-Pery,Zwischenperron,1/2,148,nein,,,0,0001-01-14T00:53:28+00:53,0001-01-27T00:53:28+00:53,West,West,West,Biel/Bienne,West,225100,(Biel) - Sonceboz-Sombeval Ouest,West,Biel,SBB CFF,SBB,Bestehend,714,35294422,1752408,"47.1896504067, 7.24726997332"
699058.048,265026.245,821,6.101,REUT,Reutlingen,Hausperron,1,320,ja,,,0,0001-01-11T00:53:28+00:53,0001-01-23T00:53:28+00:53,Ost,Ost,Ost,Winterthur,Ost,821100,(Oberwinterthur) - Seuzach,Ost,Winterthur,SBB CFF,SBB,Bestehend,714,35284143,550302,"47.5285012232, 8.75407050689"
