y;x;Linie;Km;BPS;BPS Name;PerronTyp;P-Nr;Kanten-L=;PK-H=;Bem Hohe;Hilfstritt;H-Verl;Bem H-Verlauf;Material;Bem Material;Kantenkrone;Bem Kantenkrone;Auftritt;Bem Auftritt;Fotos;FID;y2;x2;1_koord;2_koord
660350.681;263189.031;702;30.621;SIG;Siggenthal-Wurenlingen;Zwischenperron;1;66.46;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35330798;660359.314;263254.929;47.5166740137, 8.23985177839;47.5172658663, 8.23997531526
660359.314;263254.929;702;30.687;SIG;Siggenthal-Wurenlingen;Zwischenperron;1;43.27;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35330814;660364.916;263297.837;47.5172658663, 8.23997531526;47.5176512395, 8.24005550032
660366.052;263306.502;702;30.739;SIG;Siggenthal-Wurenlingen;Zwischenperron;1;36.1;P 35;inkl. Hilfstritt 20 cm;vorhanden;Karrenueberfahrten;;Mauerwerk;;Naturstein;Stahlblech;Kein;;0;35358127;660370.729;263342.294;47.5177290627, 8.24007175587;47.5180505239, 8.24013869768
661066.849;270408.618;702;38.216;KLI;Klingnau;Hausperron;1;219.99;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35369198;660872.135;270510.878;47.5815354848, 8.2503502749;47.5824732051, 8.24777624289
666094.111;256952.807;703;42.81;WE;Wettingen;Hausperron;1;133.37;P 25;;vorhanden;nicht konstant;teilweise Hilfstritt;Fertigelement;;Beton;;Kein;;0;147763293;665992.929;257039.7;47.4600369898, 8.31517213578;47.4608286131, 8.31384320889
665989.871;257036.13;703;42.944;WE;Wettingen;Dienstperron;1/2;231.6;P 25;;;konstant;;Fertigelement;;Beton;;Kein;;0;35353448;666165.37;256885.065;47.4607968131, 8.31380212817;47.459420594, 8.31610705895
683096.965;248026.724;710;0.072;ZUE;Zurich HB;Mittelperron;6/7;95.95;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35371660;683007.394;248061.133;47.3778348396, 8.53897960045;47.3781555825, 8.53780005565
683112.702;248067.866;710;0.072;ZUE;Zurich HB;Mittelperron;10/11;95.43;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35363592;683023.528;248101.844;47.3782028596, 8.5391955997;47.3785196785, 8.53802122447
683124.969;248100.016;710;0.072;ZUE;Zurich HB;Mittelperron;14/15;95.34;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35351683;683035.864;248133.928;47.3784904487, 8.53936398812;47.378806667, 8.53819050889
683086.711;248004.098;710;0.073;ZUE;Zurich HB;Aussenperron;3;95.11;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35362849;682997.764;248037.777;47.3776326489, 8.53883963636;47.3779467466, 8.53766822164
683020.148;248093.109;710;0.167;ZUE;Zurich HB;Mittelperron;10/11;69.19;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35348651;682955.522;248117.822;47.3784415474, 8.5379748521;47.3786719401, 8.53712376999
683017.287;248085.709;710;0.167;ZUE;Zurich HB;Mittelperron;8/9;68.99;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35324603;682952.86;248110.387;47.378375357, 8.53793559916;47.3786054096, 8.53708714627
683004.43;248053.843;710;0.168;ZUE;Zurich HB;Mittelperron;4/5;68.9;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35367839;682940.066;248078.443;47.3780903943, 8.5377594598;47.3783197362, 8.53691183037
683000.594;248045.173;710;0.168;ZUE;Zurich HB;Mittelperron;4/5;68.9;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35363575;682936.227;248069.763;47.3780129051, 8.53770706275;47.3782421571, 8.53685939275
682967.847;248150.001;710;0.236;ZUE;Zurich HB;Mittelperron;14/15;224.92;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35347149;682757.718;248230.206;47.3789597856, 8.53729292203;47.3797075249, 8.53452556978
682961.675;248133.934;710;0.236;ZUE;Zurich HB;Mittelperron;12/13;269.04;P 55;;;konstant;;Fertigelement;;Beton;;Beton;;0;35360021;682710.066;248229.181;47.3788160665, 8.53720822417;47.3797042903, 8.53389444174
682958.858;248126.547;710;0.236;ZUE;Zurich HB;Mittelperron;10/11;234.63;P 55;;;konstant;;Fertigelement;;Beton;;Gitterrost;;0;35338884;682739.702;248210.35;47.3787499872, 8.53716955689;47.3795312153, 8.53428335706
