y,x,Linie,Km,BPS,BPS-Name,PerronTyp,P-Nr,P-Lange,Z-Schienenfrei,P-Besonderheit,Bem-Typ,BE-Nr,BE Konstruktion,Bem Konstruktion,BE L=,Flache,Oberflache,Bem Oberflache,Baujahr,BE Besonderes,B-Jahr,Fotos,GO 1 Erf Dtm,GO Mut Dtm,GO IPID,1 Erf Dtm,Mut Dtm,AT-PA-Region,PJ-Produktionsstandort,IH-Region,IH-Niederlassung,B-Region,Kst,Kst-Beschreibung,UEW-Region,UEW-Niederlassung-FB,Abk. Str. Verwaltung,ErfMandant,Status,FNO,FID,IPID,geopos
612440.394,257568.875,230,113.122,AE,Aesch,Aussenperron,3,218,ja,,,1,Konventionell fundiert,,170,560,Verbundstein-Pflaesterung,,,,2001,0,0001-01-26T00:53:28+00:53,0001-01-20T00:53:28+00:53,2149964,0001-01-26T00:53:28+00:53,0001-01-21T00:53:28+00:53,Mitte,Mitte,Mitte,Basel,West,230250,Aesch - (Basel),Mitte,Basel,SBB CFF,SBB,Bestehend,716,35389474,2149965,"47.4687773339, 7.60363354704"
726046.035,256661.077,850,103.238,ALG,Algetshausen-Henau,Aussenperron,2,200,ja,,,1,Konventionell fundiert,,200,495,Unbekannt,,,,,0,0001-01-27T00:53:28+00:53,0001-01-22T00:53:28+00:53,1158688,0001-01-27T00:53:28+00:53,0001-01-30T00:53:28+00:53,Ost,Ost,Ost,St.Gallen,Ost,850300,(Gossau) - (Wil),Ost,St.Gallen,SBB CFF,SBB,Bestehend,716,35387199,1158700,"47.4486588794, 9.10999559779"
689721.364,153567.283,600,86.166,AI,Airolo,Mittelperron,2/3,391,ja,,,1,Konventionell fundiert,,391,2185,Bituminoeses Mischgut,,,,,0,0001-01-19T00:53:28+00:53,0001-01-07T00:53:28+00:53,1095610,0001-01-19T00:53:28+00:53,0001-01-09T00:53:28+00:53,Sud,Sud,Sud,Biasca,Sud,600400,Airolo - Bodio,Sud,Giubiasco,SBB CFF,SBB,Bestehend,716,35377581,1095609,"46.5273908307, 8.60804645519"
587831.39,210360.114,251,95.449,ABE,Aarberg,Zwischenperron,2,89,ja,,,1,Konventionell fundiert,,89,161,Kiessandbelag,,,,,0,0001-01-07T00:53:28+00:53,0001-01-30T00:53:28+00:53,1791427,0001-01-07T00:53:28+00:53,0001-01-30T00:53:28+00:53,Mitte,Mitte,Mitte,Bern,Mitte,251300,Kerzers - (Lyss),Mitte,Olten,SBB CFF,SBB,Bestehend,716,35395191,1791426,"47.0441593787, 7.27850525266"
677826.523,242301.522,711,17.938,BON,Bonstetten-Wettswil,Mittelperron,2/3,320,ja,,,1,Konventionell fundiert,,320,2192,Bituminoeses Mischgut,,,,2007,0,0001-01-25T00:53:28+00:53,0001-01-22T00:53:28+00:53,4336645,0001-01-25T00:53:28+00:53,0001-01-22T00:53:28+00:53,Ost,Ost,Ost,Zurich,Ost,711250,(Urdorf Weihermatt) - Hedingen,Ost,Zurich,SBB CFF,SBB,Bestehend,716,35395298,4336647,"47.3269885991, 8.46820314866"
675388.736,245707.539,711,12.629,BIR,Birmensdorf ZH,Aussenperron,2,317,ja,,,1,Konventionell fundiert,,317,875,Bituminoeses Mischgut,,,,1990,0,0001-01-11T00:53:28+00:53,0001-01-22T00:53:28+00:53,640397,0001-01-11T00:53:28+00:53,0001-01-22T00:53:28+00:53,Ost,Ost,Ost,Zurich,Ost,711250,(Urdorf Weihermatt) - Hedingen,Ost,Zurich,SBB CFF,SBB,Bestehend,716,35393172,640399,"47.3579041551, 8.43652981056"
733400.739,278138.409,824,97.44,BOT,Bottighofen,Hausperron,1,120,ja,,,1,Konventionell fundiert,,120,345,Verbundstein-Pflaesterung,,,,1998,0,0001-01-06T00:53:28+00:53,0001-01-06T00:53:28+00:53,2774821,0001-01-06T00:53:28+00:53,0001-01-04T00:53:28+00:53,Ost,Ost,Ost,St.Gallen,Ost,824100,(Romanshorn) - (Konstanz),Ost,St.Gallen,SBB CFF,SBB,Bestehend,716,35380986,2774822,"47.64032075, 9.21393051998"
554917.397,137377.452,131,22.98,BOU,Bouveret,Aussenperron,1,150,ja,,,2,Konventionell fundiert,,30,105,Bituminoeses Mischgut,,,,2009,0,0001-01-15T00:53:28+00:53,0001-01-02T00:53:28+00:53,3817648,0001-01-02T00:53:28+00:53,0001-01-18T00:53:28+00:53,West,West,West,Sion,West,131150,(Monthey) - Bouveret,West,Sion,SBB CFF,SBB,Bestehend,716,35376146,4274930,"46.3862423803, 6.85259238522"
555015.078,137307.108,131,22.86,BOU,Bouveret,Aussenperron,1,150,ja,,,1,Konventionell fundiert,,120,582,Bituminoeses Mischgut,,,,2007,0,0001-01-15T00:53:28+00:53,0001-01-02T00:53:28+00:53,3817648,0001-01-15T00:53:28+00:53,0001-01-16T00:53:28+00:53,West,West,West,Sion,West,131150,(Monthey) - Bouveret,West,Sion,SBB CFF,SBB,Bestehend,716,35376154,3817646,"46.3856161812, 6.85386897174"
589137.514,223109.47,410,93.903,BIBD,Biel/Bienne Bozingenfeld/Champ,Hausperron,1,159,ja,,,1,Konventionell fundiert,,159,531,Unbekannt,,,,,0,0001-01-16T00:53:28+00:53,0001-01-12T00:53:28+00:53,4737397,0001-01-16T00:53:28+00:53,0001-01-12T00:53:28+00:53,West,Mitte,West,Biel/Bienne,West,410250,Lengnau - (Biel Mett [Abzw]),West,Biel,SBB CFF,SBB,Bestehend,716,137685154,4737396,"47.158861244, 7.29538385616"
