y,x,Linie,Km,Name,BPS,BPS-Name,Oben,Unten,B-Jahr,Typ,Bauart,Bem Bauart,Nutzung,Bem Nutzung,Zus Nutz,Breite,Lange (m),Diff H=,Steigung,Handlauf,Bem Handlauf,Oberflache,Bem Oberflache,Bemerkungen,Eigentum,Bem Eigentum,Besonderheiten,Perron,Status,FID,geopos
646170.77,249091.637,649,41.598,,AA,Aarau,Perron,Untergeschoss,,Treppe,Beton,,Fussgaenger,,keine,1.2,4.3,0.0,,einseitig,#BZU,Unbekannt,,,SBB,,,,Bestehend,35032229,"47.3910341252, 8.05014746583"
646305.515,249144.895,650,41.452,Lift,AA,Aarau,Perron,Untergeschoss,2010,Lift,Stahl,,Fussgaenger,,keine,2.3,3.1,0.0,,Unbekannt,#BZU,Unbekannt,,,SBB,,,,Bestehend,35130459,"47.3915036727, 8.05193757244"
587853.745,210425.187,251,95.517,Aufgang Aarberg,ABE,Aarberg,DG,Platz,,Treppe,Beton,,,,keine,1.13,1.76,0.6,,einseitig,#BZU,Beton-Belag,,,SBB,,,,Bestehend,35029116,"47.0447451226, 7.27879766394"
612417.764,257450.146,230,113.0,Treppe,AE,Aesch,Perron,Zugangsweg,2003,Treppe,Beton,,Fussgaenger,,keine,2.5,2.66,1.8,,einseitig,#BZU,Beton-Belag,,,SBB,,,3,Bestehend,35088499,"47.4677099139, 7.60333009364"
612398.358,257430.821,230,112.978,Zugnag Perron 2,AE,Aesch,Perron,Platz,,Treppe,Beton,,Fussgaenger,,keine,0.7,8.8,0.5,,kein,#BZU,Beton-Belag,,,SBB,,,2,Bestehend,171157879,"47.4675364696, 7.6030721631"
610262.056,215992.311,400,20.999,Ext.,AESP,Aespli,Fussweg,,,Treppe,Beton,,Andere,FD-SBB,keine,1.0,8.21,0.0,,beidseitig,,Unbekannt,,,SBB,,,,Bestehend,35183497,"47.0948554588, 7.5737960362"
607251.506,211049.168,400,14.884,Dienst,AESP,Aespli,Krone LS-Wall,Strasse,2000,Treppe,Beton,,,,keine,0.8,4.0,,,kein,,Andere,Betonelemente,,SBB,,,,Bestehend,35081996,"47.0504316257, 7.53406446642"
607255.931,211046.729,400,14.885,Dienst,AESP,Aespli,Krone LS-Wall,Dienstweg,2000,Treppe,Beton,,,,keine,0.8,4.0,,,kein,,Andere,Betonelemente,,SBB,,,,Bestehend,35269638,"47.0504096389, 7.53412266277"
689889.809,153601.684,600,86.334,Edif.,AI,Airolo,Centrale TT,Uff.,,Treppe,Andere,Granito,,,keine,1.5,12.5,6.5,,beidseitig,,Beton-Belag,,,SBB,,,,Bestehend,35144488,"46.527677651, 8.61024829546"
689380.605,153591.084,600,85.842,Ext.,AI,Airolo,,,,Treppe,Beton,,Fussgaenger,,keine,0.8,4.6,0.0,,einseitig,,Unbekannt,,,SBB,,,,Bestehend,35119388,"46.5276505066, 8.60361034305"
