Fahrzeug-Art (Struktur);Fahrzeug-Typ;Objekt;Baudatum Fahrzeug;Eigengewicht (Tara);Lärmarm;Abteile 1.Kl. Nichtraucher;Abteile 2.Kl. Raucher;Abteile 2.Kl. Nichtraucher;Ansage -System/-Speicher;Anzahl Abteil-Langtische;Anzeigeblinkleuchte Durchsage;Audio-Anlage;Aussenanzeigen Front (KIS);Aussenanzeigen Front (KIS) St;Aussenanzeigen Seite (KIS);Aussenanzeigen Seite (KIS) St;Barstühle;Bartheke;Beistellstühle;Bildschirm (KIS);Bildschirm (KIS) St;Bildschirm 2 (KIS) St;Dienst -Raum/-Abteil;Eigengewicht (Tara) Zug;Druckertüchtigt;El Anschluss 230 V Anzahl  UD;El Anschluss 230 V Anzahl (OD);Fahrgastzähleinrichtung AFZ;FIS Fahrgastinformationssystem;Gepäckraum-Ladefläche;Gepäckträgerart;In-Train aussen;In-Train innen;In-Train-Versorgung;Innenanzeigen (Matrix, KIS);Innenanzeigen (Matrix, KIS) St;Klappsitze total pro Zug;Komfortanlage Führerraum;Komfortanlage Gepäckabteil;Komfortanlage Passagierraum;Kundeninformationssystem KIS;Länge über Puffer (LüP);Länge über Zug;Notsitze klappbar;Plätze Rollstühle NR/R Total;Plätze Rollstühle pro Zug;Restaurationsplätze WR;Restaurationsplätze WR pro Zug;Salon-Sofa;Sitzpl. 1.Kl. (AFZ);Sitzpl. 1.Kl. Nichtraucher;Sitzpl. 2.Kl. (AFZ);Sitzpl. 2.Kl. klappbar;Sitzpl. 2.Kl. Nichtraucher;Sitzplätze 1.Kl. NR Zug;Sitzplätze 1.Kl. Total  Zug;Sitzplätze 2.Kl. NR Zug;Sitzplätze 2.Kl. Total  Zug;Sitzplätze pro Wagen Total;Sitzplätze pro Zug Total;Sitzplätze Total (AFZ);Sitzpl. 1.Kl. NR/R Total;Sitzpl. 2.Kl. NR/R Total;Sitzpl. Bestuhlungsart;Sitzplätze Business pro Wagen;Ski- & Snowboardhalter;Stehplätze auf Plattform;Velo-Spanngurt (Stehplatzzone);Veloabteil;Velohaken;Veloplattform;Veloständer;Video/Audio-Anlage;Vmax betrieblich zugelassen
20;A EWI NPZ;50 85 1835026-1;1958-11-12;32.0;Ja;8;;;;;;;;0;;;;;;;0;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;0;;;;el Luftheiz,el Tempreg,künstl;;23700;;3;1;;;;;60;60;;;;;;;;60;;60;60;;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;A EWI NPZ;50 85 1835028-7;1958-07-10;32.0;Ja;8;;;;;;;;0;;;;;;;0;;;;;;;;;;Längs-Gepäckträger;;;;;0;;;;el Luftheiz,el Tempreg,künstl;;23700;;3;1;;;;;60;60;;;;;;;;60;;60;60;;normal 'vis-à-vis';;;;;;5;Ja;;;140
15;At NPZ DO;50 85 1943801-6;1987-06-10;38.0;Ja;9;;0;Ruf;;;;LCD 26x120 / Apricot;2;;;;;;"TFT 15"" / Fela";2;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;LED 24x180 / Fela;4;;Führerraumklimaanlage;;Klimaanlage mit Mikroprozessor;Ruf / F14 8TE;25000;;0;0;;;;;56;56;0;;;;;;;56;;56;56;;normal 'vis-à-vis';;;;;;0;;;;140
20;B EWII Auto;50 85 2034576-2;1967-09-08;29.0;Ja;;;10;;;;;;;;;0;;0;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,künstl;;24700;;3;2;;;;;0;;79;;79;;;;;79;;79;;79;normal 'vis-à-vis';;;;;;3;Ja;;;140
20;B EWII;50 85 2034588-7;1967-11-30;29.0;;;;10;;;;;;;;;0;;0;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;24700;;3;2;;;;;0;;79;;79;;;;;79;;79;;79;normal 'vis-à-vis';;;;;;0;Nein;;;140
20;B EWI NPZ;50 85 2035075-4;1960-05-11;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,künstl;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035078-8;1960-05-21;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,künstl;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035091-1;1960-09-02;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,künstl;;23700;;2;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035099-4;1960-12-02;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,künstl;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035147-1;1958-05-09;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035184-4;1959-05-27;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035188-5;1958-07-16;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;Dilax/APFZ;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035198-4;1958-02-07;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
20;B EWI NPZ;50 85 2035213-1;1961-01-20;30.0;Ja;;;10;;;;;;;;;;;;;;;;;;;;;;;Längs-Gepäckträger;;;;;;;;;el Luftheiz,el Tempreg,Rechn,k;;23700;;1;;;;;;0;;80;;80;;;;;80;;80;;80;normal 'vis-à-vis';;;;;;5;Ja;;;140
