didok,stationsbezeichnung,service,periodevon,periodebis,von1,bis1,von2,bis2,von3,bis3,Mo,Di,Mi,Do,Fr,Sa,So,Oeffnungsdauer,Dauer Mo-Fr,Dauer Sa,Dauer So,Unternehmung,geopos,ID
10,Basel SBB,Beratung & Verkauf,,01.01.2012,0001-01-01T09:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,1,1,1,1,1,,,10.0 Std/Min.,50.0 Std/Min.,,,SBB,"47.5474041527, 7.58955146721",1
10,Basel SBB,"Billette, Abonnemente, Freizeitangebote",,01.01.2012,0001-01-01T06:53:28+00:53,0001-01-01T21:53:28+00:53,,,,,1,1,1,1,1,1,1,15.0 Std/Min.,75.0 Std/Min.,15.0 Std/Min.,15.0 Std/Min.,SBB,"47.5474041527, 7.58955146721",2
10,Basel SBB,Fundservice,,01.01.2012,0001-01-01T09:53:28+00:53,0001-01-01T19:53:28+00:53,,,,,0,0,0,0,0,1,1,10.0 Std/Min.,50.0 Std/Min.,10.0 Std/Min.,10.0 Std/Min.,SBB,"47.5474041527, 7.58955146721",3
10,Basel SBB,InfoPoint,01.01.2016,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T22:53:28+00:53,,,,,1,1,1,1,1,1,1,14.0 Std/Min.,70.0 Std/Min.,14.0 Std/Min.,14.0 Std/Min.,SBB,"47.5474041527, 7.58955146721",4
20,Muttenz,Gepäck,01.01.2004,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T22:53:28+00:53,,,,,,,,,,1,1,15.0 Std/Min.,,15.0 Std/Min.,15.0 Std/Min.,SBB,"47.5335803903, 7.64787914262",5
21,Pratteln,"Billette, Abonnemente, Freizeitangebote",,01.01.2012,0001-01-01T08:53:28+00:53,0001-01-01T18:53:28+00:53,,,,,1,1,1,1,1,,,10.0 Std/Min.,50.0 Std/Min.,,,SBB,"47.522657608, 7.69080243836",6
23,Liestal,"Billette, Abonnemente, Freizeitangebote",,01.01.2013,0001-01-01T08:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,0,0,0,0,0,1,0,9.0 Std/Min.,45.0 Std/Min.,9.0 Std/Min.,,SBB,"47.4844551308, 7.73135468775",7
23,Liestal,"Billette, Abonnemente, Freizeitangebote",01.01.2014,01.01.2014,0001-01-01T14:08:28+00:53,0001-01-01T22:23:28+00:53,,,,,0,0,0,0,0,0,1,8.15 Std/Min.,41.15 Std/Min.,,8.15 Std/Min.,SBB,"47.4844551308, 7.73135468775",8
23,Liestal,DHL,01.01.2015,01.01.1931,0001-01-01T08:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,0,0,0,0,0,1,0,9.0 Std/Min.,45.0 Std/Min.,9.0 Std/Min.,,SBB,"47.4844551308, 7.73135468775",9
23,Liestal,Fundservice,01.01.2015,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,0,0,11.30 Std/Min.,57.30 Std/Min.,,,SBB,"47.4844551308, 7.73135468775",10
23,Liestal,Geldwechsel,,01.01.2013,0001-01-01T08:53:28+00:53,0001-01-01T17:53:28+00:53,,,,,0,0,0,0,0,1,0,9.0 Std/Min.,45.0 Std/Min.,9.0 Std/Min.,,SBB,"47.4844551308, 7.73135468775",11
23,Liestal,Gepäckaufbewahrung,01.01.2015,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,0,0,11.30 Std/Min.,57.30 Std/Min.,,,SBB,"47.4844551308, 7.73135468775",12
23,Liestal,Gruppenreisen,01.01.2014,01.01.2014,0001-01-01T14:08:28+00:53,0001-01-01T22:23:28+00:53,,,,,0,0,0,0,0,0,1,8.15 Std/Min.,41.15 Std/Min.,,8.15 Std/Min.,SBB,"47.4844551308, 7.73135468775",13
23,Liestal,Velovermietung,01.01.2015,01.01.1931,0001-01-01T07:53:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,0,0,11.30 Std/Min.,57.30 Std/Min.,,,SBB,"47.4844551308, 7.73135468775",14
26,Sissach,Fundservice,,01.01.2012,0001-01-01T08:43:28+00:53,0001-01-01T19:23:28+00:53,,,,,1,1,1,1,1,,,10.40 Std/Min.,53.20 Std/Min.,,,SBB,"47.4627456535, 7.81201832437",15
30,Basel Euroairport,"Billette, Abonnemente, Freizeitangebote",01.01.2025,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T19:03:28+00:53,,,,,0,0,0,0,0,1,0,9.10 Std/Min.,45.50 Std/Min.,9.10 Std/Min.,,SBB,,16
30,Basel Euroairport,Eventtickets,01.01.2025,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T19:03:28+00:53,,,,,0,0,0,0,0,1,0,9.10 Std/Min.,45.50 Std/Min.,9.10 Std/Min.,,SBB,,17
30,Basel Euroairport,Eventtickets,01.01.2025,01.01.1931,0001-01-01T09:53:28+00:53,0001-01-01T20:38:28+00:53,,,,,1,1,1,1,1,0,0,10.45 Std/Min.,53.45 Std/Min.,,,SBB,,18
